# English source | de-DE | fr-FR | es-ES | pt-BR | it-IT | nl-NL | pl-PL | tr-TR | ru-RU (no spaces around separators)
Could not check for updates. Check your connection or try later. GitHub may return HTTP 404 until the first release is published.|Updates konnten nicht geprüft werden. Prüfen Sie die Verbindung oder versuchen Sie es später. Vor dem ersten Release kann GitHub HTTP 404 melden.|Impossible de vérifier les mises à jour. Vérifiez la connexion ou réessayez plus tard. GitHub peut renvoyer HTTP 404 avant la première publication.|No se pudieron comprobar las actualizaciones. Revise la conexión o inténtelo más tarde. GitHub puede devolver HTTP 404 hasta la primera publicación.|Não foi possível verificar atualizações. Verifique a conexão ou tente depois. O GitHub pode retornar HTTP 404 até a primeira versão ser publicada.|Impossibile verificare gli aggiornamenti. Controlla la connessione o riprova più tardi. GitHub può restituire HTTP 404 prima della prima versione.|Updates controleren mislukt. Controleer de verbinding of probeer later opnieuw. GitHub kan HTTP 404 geven tot de eerste release.|Nie udało się sprawdzić aktualizacji. Sprawdź połączenie lub spróbuj później. Przed pierwszym wydaniem GitHub może zwracać HTTP 404.|Güncellemeler denetlenemedi. Bağlantınızı denetleyin veya sonra deneyin. İlk sürüm yayımlanana kadar GitHub HTTP 404 döndürebilir.|Не удалось проверить обновления. Проверьте подключение или повторите позже. До публикации первого релиза GitHub может возвращать HTTP 404.
Could not open project|Projekt konnte nicht geöffnet werden|Impossible d’ouvrir le projet|No se pudo abrir el proyecto|Não foi possível abrir o projeto|Impossibile aprire il progetto|Project openen mislukt|Nie udało się otworzyć projektu|Proje açılamadı|Не удалось открыть проект
Could not paste blocks: {p1}|Blöcke konnten nicht eingefügt werden: {p1}|Impossible de coller les blocs : {p1}|No se pudieron pegar bloques: {p1}|Não foi possível colar blocos: {p1}|Impossibile incollare i blocchi: {p1}|Blokken plakken mislukt: {p1}|Nie udało się wkleić bloków: {p1}|Bloklar yapıştırılamadı: {p1}|Не удалось вставить блоки: {p1}
Could not read project file: {error}|Projektdatei konnte nicht gelesen werden: {error}|Impossible de lire le fichier projet : {error}|No se pudo leer el proyecto: {error}|Não foi possível ler o projeto: {error}|Impossibile leggere il progetto: {error}|Projectbestand lezen mislukt: {error}|Nie udało się odczytać projektu: {error}|Proje dosyası okunamadı: {error}|Не удалось прочитать project-файл: {error}
Created:\n|Erstellt:\n|Créés :\n|Creados:\n|Criados:\n|Creati:\n|Gemaakt:\n|Utworzono:\n|Oluşturuldu:\n|Созданы:\n
Credentials JSON|Zugangsdaten-JSON|JSON des identifiants|JSON de credenciales|JSON de credenciais|JSON credenziali|Toegangsgegevens-JSON|JSON danych dostępu|Kimlik bilgileri JSON|JSON учётных данных
CRM|CRM|CRM|CRM|CRM|CRM|CRM|CRM|CRM|CRM
CRM integration|CRM-Integration|Intégration CRM|Integración CRM|Integração CRM|Integrazione CRM|CRM-integratie|Integracja CRM|CRM entegrasyonu|CRM-интеграция
CRM integration for “{title}” not found.|CRM-Integration für „{title}“ nicht gefunden.|Intégration CRM de « {title} » introuvable.|Integración CRM de «{title}» no encontrada.|Integração CRM de “{title}” não encontrada.|Integrazione CRM di «{title}» non trovata.|CRM-integratie voor ‘{title}’ niet gevonden.|Nie znaleziono integracji CRM „{title}”.|“{title}” CRM entegrasyonu bulunamadı.|CRM-интеграция блока «{title}» не найдена.
Current block: {p1}\nMode: {p3}\n\nVariables:\n{p5}\n\nRoute:\n|Aktueller Block: {p1}\nModus: {p3}\n\nVariablen:\n{p5}\n\nRoute:\n|Bloc actuel : {p1}\nMode : {p3}\n\nVariables :\n{p5}\n\nParcours :\n|Bloque actual: {p1}\nModo: {p3}\n\nVariables:\n{p5}\n\nRuta:\n|Bloco atual: {p1}\nModo: {p3}\n\nVariáveis:\n{p5}\n\nRota:\n|Blocco attuale: {p1}\nModalità: {p3}\n\nVariabili:\n{p5}\n\nPercorso:\n|Huidig blok: {p1}\nModus: {p3}\n\nVariabelen:\n{p5}\n\nRoute:\n|Bieżący blok: {p1}\nTryb: {p3}\n\nZmienne:\n{p5}\n\nTrasa:\n|Geçerli blok: {p1}\nMod: {p3}\n\nDeğişkenler:\n{p5}\n\nRota:\n|Текущий блок: {p1}\nСледующий режим: {p3}\n\nПеременные:\n{p5}\n\nМаршрут:\n
Cut|Ausschneiden|Couper|Cortar|Recortar|Taglia|Knippen|Wytnij|Kes|Вырезать
Default (JSON)|Standardwert (JSON)|Valeur par défaut (JSON)|Valor predeterminado (JSON)|Padrão (JSON)|Predefinito (JSON)|Standaard (JSON)|Domyślnie (JSON)|Varsayılan (JSON)|По умолчанию (JSON)
Defaults|Standardwerte|Valeurs par défaut|Valores predeterminados|Padrões|Valori predefiniti|Standaardwaarden|Domyślne|Varsayılanlar|По умолчанию
Define parameter names and session values for Telegram API tests. Get BOT_TOKEN from @BotFather and generate WEBHOOK_SECRET below.|Parameternamen und Sitzungswerte für Telegram-API-Tests festlegen. BOT_TOKEN von @BotFather beziehen; WEBHOOK_SECRET unten erzeugen.|Définissez les noms des paramètres et valeurs de session pour tester l’API Telegram. Obtenez BOT_TOKEN via @BotFather et générez WEBHOOK_SECRET ci-dessous.|Defina nombres y valores de sesión para probar la API de Telegram. Obtenga BOT_TOKEN de @BotFather y genere WEBHOOK_SECRET abajo.|Defina nomes e valores de sessão para testar a API Telegram. Obtenha BOT_TOKEN no @BotFather e gere WEBHOOK_SECRET abaixo.|Definisci nomi e valori di sessione per testare l’API Telegram. Ottieni BOT_TOKEN da @BotFather e genera WEBHOOK_SECRET sotto.|Definieer parameternamen en sessiewaarden voor Telegram-API-tests. Haal BOT_TOKEN bij @BotFather en genereer hieronder WEBHOOK_SECRET.|Ustaw nazwy parametrów i wartości sesji do testów API Telegram. Pobierz BOT_TOKEN od @BotFather i wygeneruj WEBHOOK_SECRET poniżej.|Telegram API testleri için parametre adlarını ve oturum değerlerini belirleyin. BOT_TOKEN değerini @BotFather ile alın; aşağıda WEBHOOK_SECRET oluşturun.|Здесь задаются имена параметров проекта и временные значения для проверки Telegram API. BOT_TOKEN выдаёт @BotFather. WEBHOOK_SECRET можно создать кнопкой ниже.
Delete|Delete|Delete|Delete|Delete|Delete|Delete|Delete|Delete|Удалить
Description|Description|Description|Description|Description|Description|Description|Description|Description|Описание
Developer:|Entwickler:|Développeur :|Desarrollador:|Desenvolvedor:|Sviluppatore:|Ontwikkelaar:|Twórca:|Geliştirici:|Разработчик:
Dictionaries|Verzeichnisse|Répertoires|Directorios|Diretórios|Elenchi|Lijsten|Słowniki|Sözlükler|Справочники
Dictionary|Verzeichnis|Répertoire|Directorio|Diretório|Elenco|Lijst|Słownik|Sözlük|Справочник
Dictionary name|Verzeichnisname|Nom du répertoire|Nombre del directorio|Nome do diretório|Nome dell’elenco|Lijstnaam|Nazwa słownika|Sözlük adı|Имя справочника
Dictionary records|Verzeichniseinträge|Entrées du répertoire|Registros del directorio|Registros do diretório|Voci dell’elenco|Lijstitems|Rekordy słownika|Sözlük kayıtları|Записи справочника
Dictionary saved|Verzeichnis gespeichert|Répertoire enregistré|Directorio guardado|Diretório salvo|Elenco salvato|Lijst opgeslagen|Słownik zapisany|Sözlük kaydedildi|Справочник сохранён
Dictionary “{p1}” already exists.|Verzeichnis „{p1}“ existiert bereits.|Le répertoire « {p1} » existe déjà.|El directorio «{p1}» ya existe.|O diretório “{p1}” já existe.|L’elenco «{p1}» esiste già.|Lijst ‘{p1}’ bestaat al.|Słownik „{p1}” już istnieje.|“{p1}” sözlüğü zaten var.|Справочник «{p1}» уже существует.
Dictionary “{title}” has duplicate record IDs.|Verzeichnis „{title}“ hat doppelte Eintrags-IDs.|Le répertoire « {title} » a des ID d’entrée dupliqués.|El directorio «{title}» tiene ID duplicados.|O diretório “{title}” tem IDs duplicados.|L’elenco «{title}» ha ID duplicati.|Lijst ‘{title}’ bevat dubbele record-ID’s.|Słownik „{title}” ma powtórzone ID rekordów.|“{title}” sözlüğünde kayıt kimlikleri yineleniyor.|В справочнике «{title}» повторяются ID записей.
Disable link preview|Linkvorschau deaktivieren|Désactiver l’aperçu des liens|Desactivar vista previa de enlaces|Desativar prévia de links|Disabilita anteprima link|Linkvoorbeeld uitschakelen|Wyłącz podgląd linków|Bağlantı önizlemesini kapat|Без предпросмотра ссылок
Display name|Anzeigename|Nom affiché|Nombre visible|Nome de exibição|Nome visualizzato|Weergavenaam|Nazwa wyświetlana|Görünen ad|Отображаемое имя
Don't save|Nicht speichern|Ne pas enregistrer|No guardar|Não salvar|Non salvare|Niet opslaan|Nie zapisuj|Kaydetme|Не сохранять
Done.|Fertig.|Terminé.|Listo.|Concluído.|Fatto.|Gereed.|Gotowe.|Tamamlandı.|Готово.
Duplicate|Duplizieren|Dupliquer|Duplicar|Duplicar|Duplica|Dupliceren|Duplikuj|Çoğalt|Дублировать
Edit message|Nachricht bearbeiten|Modifier le message|Editar mensaje|Editar mensagem|Modifica messaggio|Bericht bewerken|Edytuj wiadomość|Mesajı düzenle|Редактировать сообщение
Email binding name must be a valid identifier.|E-Mail-Binding-Name muss eine gültige Kennung sein.|Le nom du binding email doit être un identifiant valide.|El nombre del binding debe ser un identificador válido.|O nome do binding deve ser um identificador válido.|Il nome del binding deve essere un identificatore valido.|Naam van e-mailbinding moet een geldige identificatie zijn.|Nazwa bindingu e-mail musi być poprawnym identyfikatorem.|E-posta binding adı geçerli tanımlayıcı olmalıdır.|Имя Email binding должно быть допустимым идентификатором.
Email body|E-Mail-Text|Corps du courriel|Texto del correo|Corpo do e-mail|Testo email|E-mailtekst|Treść wiadomości|E-posta metni|Текст письма
Email subject|E-Mail-Betreff|Objet du courriel|Asunto del correo|Assunto do e-mail|Oggetto email|E-mailonderwerp|Temat wiadomości|E-posta konusu|Тема письма
Enable a channel in Channels & integrations, apply settings and select it for export.|Einen Kanal unter Kanäle und Integrationen aktivieren, Einstellungen anwenden und für den Export auswählen.|Activez un canal dans Canaux et intégrations, appliquez les paramètres et sélectionnez-le pour l’export.|Active un canal en Canales e integraciones, aplique los ajustes y selecciónelo para exportar.|Ative um canal em Canais e integrações, aplique as configurações e selecione-o para exportação.|Attiva un canale in Canali e integrazioni, applica le impostazioni e selezionalo per l’esportazione.|Schakel een kanaal in bij Kanalen en integraties, pas instellingen toe en selecteer het voor export.|Włącz kanał w sekcji Kanały i integracje, zastosuj ustawienia i wybierz go do eksportu.|Kanallar ve entegrasyonlarda bir kanalı etkinleştirin, ayarları uygulayın ve dışa aktarmak için seçin.|Включите хотя бы один канал во вкладке «Каналы и интеграции», примените настройки и отметьте его для экспорта.
Enable at least one channel.|Mindestens einen Kanal aktivieren.|Activez au moins un canal.|Active al menos un canal.|Ative pelo menos um canal.|Attiva almeno un canale.|Schakel minstens één kanaal in.|Włącz co najmniej jeden kanał.|En az bir kanal etkinleştirin.|Включите хотя бы один канал.
Enabled|Aktiviert|Activé|Activado|Ativado|Attivo|Ingeschakeld|Włączony|Etkin|Включён
Enter a valid sender address.|Gültige Absenderadresse eingeben.|Saisissez une adresse d’expéditeur valide.|Introduzca un remitente válido.|Insira um remetente válido.|Inserisci un mittente valido.|Voer een geldig afzenderadres in.|Podaj poprawny adres nadawcy.|Geçerli gönderen adresi girin.|Укажите корректный адрес отправителя.
Enter an Email API endpoint.|E-Mail-API-Endpunkt eingeben.|Saisissez le point d’accès de l’API email.|Introduzca endpoint de API de correo.|Insira endpoint da API de e-mail.|Inserisci endpoint API email.|Voer een e-mail-API-eindpunt in.|Podaj punkt końcowy API e-mail.|E-posta API uç noktası girin.|Укажите endpoint Email API.
Enter an SMTP host.|SMTP-Host eingeben.|Saisissez un hôte SMTP.|Introduzca host SMTP.|Insira host SMTP.|Inserisci host SMTP.|Voer een SMTP-host in.|Podaj host SMTP.|SMTP sunucusu girin.|Укажите SMTP host.
Enter BOT_TOKEN in the table.|BOT_TOKEN in der Tabelle eingeben.|Saisissez BOT_TOKEN dans le tableau.|Introduzca BOT_TOKEN en la tabla.|Insira BOT_TOKEN na tabela.|Inserisci BOT_TOKEN nella tabella.|Voer BOT_TOKEN in de tabel in.|Wpisz BOT_TOKEN w tabeli.|Tabloya BOT_TOKEN girin.|Введите BOT_TOKEN в таблице.
ENV & secrets|ENV und Geheimnisse|ENV et secrets|ENV y secretos|ENV e segredos|ENV e segreti|ENV en geheimen|ENV i sekrety|ENV ve gizli değerler|ENV и secrets
ENV & Telegram|ENV und Telegram|ENV et Telegram|ENV y Telegram|ENV e Telegram|ENV e Telegram|ENV en Telegram|ENV i Telegram|ENV ve Telegram|ENV и Telegram
ENV {env} ({label}) missing for {title}.|ENV {env} ({label}) fehlt für {title}.|ENV {env} ({label}) absente pour {title}.|Falta ENV {env} ({label}) para {title}.|Falta ENV {env} ({label}) para {title}.|ENV {env} ({label}) mancante per {title}.|ENV {env} ({label}) ontbreekt voor {title}.|Brak ENV {env} ({label}) dla {title}.|{title} için ENV {env} ({label}) eksik.|Для {title} не объявлена ENV {env} ({label}).
ENV {env} missing for contact “{title}”.|ENV {env} fehlt für Kontakt „{title}“.|ENV {env} absente pour le contact « {title} ».|Falta ENV {env} para contacto «{title}».|Falta ENV {env} para contato “{title}”.|ENV {env} mancante per contatto «{title}».|ENV {env} ontbreekt voor contact ‘{title}’.|Brak ENV {env} dla kontaktu „{title}”.|“{title}” kişisi için ENV {env} eksik.|Для контакта «{title}» не объявлена ENV {env}.
ENV {env} missing for CRM “{title}”.|ENV {env} fehlt für CRM „{title}“.|ENV {env} absente pour le CRM « {title} ».|Falta ENV {env} para CRM «{title}».|Falta ENV {env} para CRM “{title}”.|ENV {env} mancante per CRM «{title}».|ENV {env} ontbreekt voor CRM ‘{title}’.|Brak ENV {env} dla CRM „{title}”.|“{title}” CRM için ENV {env} eksik.|Для CRM «{title}» не объявлена ENV {env}.
ENV {env} missing for recipient “{title}”.|ENV {env} fehlt für Empfänger „{title}“.|ENV {env} absente pour le destinataire « {title} ».|Falta ENV {env} para destinatario «{title}».|Falta ENV {env} para destinatário “{title}”.|ENV {env} mancante per destinatario «{title}».|ENV {env} ontbreekt voor ontvanger ‘{title}’.|Brak ENV {env} dla odbiorcy „{title}”.|“{title}” alıcısı için ENV {env} eksik.|Для получателя «{title}» не объявлена ENV {env}.
Estimated Context Capsule ({estimated}) exceeds limit {limit}.|Geschätzte Context Capsule ({estimated}) überschreitet Limit {limit}.|Context Capsule estimée ({estimated}) dépasse la limite {limit}.|Context Capsule estimada ({estimated}) supera el límite {limit}.|Context Capsule estimada ({estimated}) excede o limite {limit}.|Context Capsule stimata ({estimated}) supera il limite {limit}.|Geschatte Context Capsule ({estimated}) overschrijdt limiet {limit}.|Szacowana Context Capsule ({estimated}) przekracza limit {limit}.|Tahmini Context Capsule ({estimated}), {limit} sınırını aşıyor.|Ожидаемый Context Capsule ({estimated}) превышает лимит {limit}.
Export|Export|Export|Exportar|Exportar|Esporta|Exporteren|Eksport|Dışa aktar|Экспорт
Export & deployment|Export und Bereitstellung|Export et déploiement|Exportación y despliegue|Exportação e implantação|Esportazione e distribuzione|Export en implementatie|Eksport i wdrożenie|Dışa aktarma ve dağıtım|Экспорт и запуск
Export a project copy…|Projektkopie exportieren…|Exporter une copie du projet…|Exportar copia del proyecto…|Exportar cópia do projeto…|Esporta copia del progetto…|Projectkopie exporteren…|Eksportuj kopię projektu…|Proje kopyasını dışa aktar…|Экспортировать копию project-файла…
Export both platforms|Beide Plattformen exportieren|Exporter les deux plateformes|Exportar ambas plataformas|Exportar ambas as plataformas|Esporta entrambe le piattaforme|Beide platforms exporteren|Eksportuj obie platformy|Her iki platformu dışa aktar|Экспортировать оба варианта
Export Cloudflare Worker|Cloudflare Worker exportieren|Exporter le Worker Cloudflare|Exportar Worker de Cloudflare|Exportar Worker do Cloudflare|Esporta Cloudflare Worker|Cloudflare Worker exporteren|Eksportuj Cloudflare Worker|Cloudflare Worker'ı dışa aktar|Экспортировать Cloudflare Worker
Export Cloudflare ZIP|Cloudflare-ZIP exportieren|Exporter le ZIP Cloudflare|Exportar ZIP Cloudflare|Exportar ZIP Cloudflare|Esporta ZIP Cloudflare|Cloudflare-ZIP exporteren|Eksportuj ZIP Cloudflare|Cloudflare ZIP dışa aktar|Экспортировать Cloudflare ZIP
Export completed|Export abgeschlossen|Export terminé|Exportación completada|Exportação concluída|Esportazione completata|Export voltooid|Eksport zakończony|Dışa aktarma tamamlandı|Экспорт завершён
Export Docker ZIP|Docker-ZIP exportieren|Exporter le ZIP Docker|Exportar ZIP Docker|Exportar ZIP Docker|Esporta ZIP Docker|Docker-ZIP exporteren|Eksportuj ZIP Docker|Docker ZIP dışa aktar|Экспортировать Docker ZIP
Export failed|Export fehlgeschlagen|Échec de l’export|Error de exportación|Falha na exportação|Esportazione non riuscita|Export mislukt|Eksport nie powiódł się|Dışa aktarma başarısız|Экспорт не выполнен
Export folder|Exportordner|Dossier d’export|Carpeta de exportación|Pasta de exportação|Cartella di esportazione|Exportmap|Folder eksportu|Dışa aktarma klasörü|Папка для экспорта
Export leads|Anfragen exportieren|Exporter les demandes|Exportar solicitudes|Exportar solicitações|Esporta richieste|Aanvragen exporteren|Eksportuj zgłoszenia|Talepleri dışa aktar|Экспорт заявок
Export project file|Projektdatei exportieren|Exporter le fichier projet|Exportar archivo de proyecto|Exportar arquivo do projeto|Esporta file di progetto|Projectbestand exporteren|Eksportuj plik projektu|Proje dosyasını dışa aktar|Экспорт project-файла
Export Worker|Worker exportieren|Exporter le Worker|Exportar Worker|Exportar Worker|Esporta Worker|Worker exporteren|Eksportuj Worker|Worker'ı dışa aktar|Экспортировать Worker
Export ZIP|ZIP exportieren|Exporter le ZIP|Exportar ZIP|Exportar ZIP|Esporta ZIP|ZIP exporteren|Eksportuj ZIP|ZIP dışa aktar|Экспортировать ZIP
Fallback language|Ersatzsprache|Langue de repli|Idioma alternativo|Idioma alternativo|Lingua alternativa|Terugvaltaal|Język zapasowy|Yedek dil|Резервный язык
Field mapping JSON|Feldzuordnungs-JSON|JSON de correspondance des champs|JSON de mapeo de campos|JSON de mapeamento de campos|JSON mappatura campi|Veldmapping-JSON|JSON mapowania pól|Alan eşleme JSON|JSON сопоставления полей
Find Chat ID / Topic ID|Chat ID / Topic ID suchen|Trouver Chat ID / Topic ID|Buscar Chat ID / Topic ID|Buscar Chat ID / Topic ID|Trova Chat ID / Topic ID|Chat ID / Topic ID zoeken|Znajdź Chat ID / Topic ID|Chat ID / Topic ID bul|Найти Chat ID / Topic ID
Firebase & export|Firebase und Export|Firebase et export|Firebase y exportación|Firebase e exportação|Firebase ed esportazione|Firebase en export|Firebase i eksport|Firebase ve dışa aktarma|Firebase и экспорт
Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore|Firebase Firestore
First enter the session value for {p1} in Main settings.|Zuerst den Sitzungswert für {p1} in den Haupteinstellungen eingeben.|Saisissez d’abord la valeur de session de {p1} dans les paramètres principaux.|Primero introduzca el valor de sesión de {p1} en Ajustes principales.|Primeiro insira o valor de sessão de {p1} nas configurações principais.|Prima inserisci il valore di sessione di {p1} nelle impostazioni principali.|Voer eerst de sessiewaarde voor {p1} in bij de hoofdinstellingen.|Najpierw wpisz wartość sesji {p1} w ustawieniach głównych.|Önce Ana ayarlar bölümüne {p1} oturum değerini girin.|Сначала задайте временное значение {p1} в «Основных параметрах».
Float or dock panel|Panel lösen oder andocken|Détacher ou ancrer le panneau|Desacoplar o acoplar el panel|Desencaixar ou encaixar o painel|Sgancia o aggancia il pannello|Paneel losmaken of vastzetten|Odłącz lub zadokuj panel|Paneli ayır veya sabitle|Открепить или закрепить панель
Format|Format|Format|Formato|Formato|Formato|Formaat|Format|Biçim|Формат
Free software under GNU GPL v3.0 only, without any warranty.|Freie Software unter GNU GPL v3.0 only, ohne jegliche Gewährleistung.|Logiciel libre sous GNU GPL v3.0 only, sans aucune garantie.|Software libre bajo GNU GPL v3.0 only, sin garantía alguna.|Software livre sob GNU GPL v3.0 only, sem qualquer garantia.|Software libero sotto GNU GPL v3.0 only, senza alcuna garanzia.|Vrije software onder GNU GPL v3.0 only, zonder enige garantie.|Wolne oprogramowanie na licencji GNU GPL v3.0 only, bez żadnej gwarancji.|GNU GPL v3.0 only kapsamında, hiçbir garanti verilmeyen özgür yazılım.|Свободное ПО по GNU GPL v3.0 only, без каких-либо гарантий.
Free software under GNU GPL v3.0 only, without warranty.|Freie Software unter GNU GPL v3.0 only, ohne Gewährleistung.|Logiciel libre sous GNU GPL v3.0 only, sans garantie.|Software libre bajo GNU GPL v3.0 only, sin garantía.|Software livre sob GNU GPL v3.0 only, sem garantia.|Software libero sotto GNU GPL v3.0 only, senza garanzia.|Vrije software onder GNU GPL v3.0 only, zonder garantie.|Wolne oprogramowanie na GNU GPL v3.0 only, bez gwarancji.|GNU GPL v3.0 only kapsamında özgür yazılım, garantisiz.|Свободное ПО по GNU GPL v3.0 only, без гарантий.
General setup|Allgemeine Einrichtung|Configuration générale|Configuración general|Configuração geral|Configurazione generale|Algemene instellingen|Konfiguracja ogólna|Genel kurulum|Общая настройка
Generate preview|Vorschau erzeugen|Générer l’aperçu|Generar vista previa|Gerar prévia|Genera anteprima|Voorbeeld genereren|Generuj podgląd|Önizleme oluştur|Сгенерировать preview
Generate unique webhook path|Eindeutigen Webhook-Pfad erzeugen|Générer un chemin webhook unique|Generar ruta webhook única|Gerar caminho webhook único|Genera percorso webhook univoco|Uniek webhookpad genereren|Generuj unikalną ścieżkę webhook|Benzersiz webhook yolu oluştur|Создать уникальный webhook path
Generate WEBHOOK_SECRET|WEBHOOK_SECRET erzeugen|Générer WEBHOOK_SECRET|Generar WEBHOOK_SECRET|Gerar WEBHOOK_SECRET|Genera WEBHOOK_SECRET|WEBHOOK_SECRET genereren|Generuj WEBHOOK_SECRET|WEBHOOK_SECRET oluştur|Создать WEBHOOK_SECRET
Generation failed|Erzeugung fehlgeschlagen|Échec de génération|Error de generación|Falha na geração|Generazione non riuscita|Genereren mislukt|Generowanie nie powiodło się|Oluşturma başarısız|Генерация не выполнена
Get BOT_TOKEN|BOT_TOKEN erhalten|Obtenir BOT_TOKEN|Obtener BOT_TOKEN|Obter BOT_TOKEN|Ottieni BOT_TOKEN|BOT_TOKEN verkrijgen|Uzyskaj BOT_TOKEN|BOT_TOKEN al|Как получить BOT_TOKEN
Getting started|Erste Schritte|Premiers pas|Primeros pasos|Primeiros passos|Primi passi|Aan de slag|Pierwsze kroki|Başlangıç|Начало
GitHub|GitHub|GitHub|GitHub|GitHub|GitHub|GitHub|GitHub|GitHub|GitHub
Graph & connections|Diagramm und Verbindungen|Schéma et connexions|Diagrama y conexiones|Diagrama e conexões|Schema e collegamenti|Schema en verbindingen|Schemat i połączenia|Şema ve bağlantılar|Схема и связи
Headers|Header|En-têtes|Cabeceras|Cabeçalhos|Intestazioni|Headers|Nagłówki|Üst bilgiler|Заголовки
Help|Hilfe|Aide|Ayuda|Ajuda|Aiuto|Help|Pomoc|Yardım|Справка
Hide code editor|Code-Editor ausblenden|Masquer l’éditeur de code|Ocultar editor de código|Ocultar editor de código|Nascondi editor di codice|Code-editor verbergen|Ukryj edytor kodu|Kod düzenleyiciyi gizle|Скрыть редактор кода
HTML markup|HTML-Formatierung|Balisage HTML|Formato HTML|Marcação HTML|Markup HTML|HTML-opmaak|Formatowanie HTML|HTML biçimlendirme|HTML-разметка
Import project file…|Projektdatei importieren…|Importer un fichier projet…|Importar archivo de proyecto…|Importar arquivo de projeto…|Importa file di progetto…|Projectbestand importeren…|Importuj plik projektu…|Proje dosyasını içe aktar…|Импортировать project-файл…
Import Telegram Desktop JSON to XLSX…|Telegram-Desktop-JSON in XLSX importieren…|Importer Telegram Desktop JSON en XLSX…|Importar JSON de Telegram Desktop a XLSX…|Importar JSON do Telegram Desktop para XLSX…|Importa JSON Telegram Desktop in XLSX…|Telegram Desktop JSON naar XLSX importeren…|Importuj Telegram Desktop JSON do XLSX…|Telegram Desktop JSON’u XLSX’e aktar…|Импорт Telegram Desktop JSON в XLSX…
input|Eingabe|saisie|entrada|entrada|input|invoer|dane wejściowe|girdi|ввод
Integrations not saved|Integrationen nicht gespeichert|Intégrations non enregistrées|Integraciones no guardadas|Integrações não salvas|Integrazioni non salvate|Integraties niet opgeslagen|Nie zapisano integracji|Entegrasyonlar kaydedilmedi|Интеграции не сохранены
Interface & bot|Oberfläche und Bot|Interface et bot|Interfaz y bot|Interface e bot|Interfaccia e bot|Interface en bot|Interfejs i bot|Arayüz ve bot|Интерфейс и бот
International channels appear first. Credentials map API parameters to ENV names, e.g. {"access_token": "WHATSAPP_TOKEN"}.|Internationale Kanäle stehen zuerst. Credentials ordnet API-Parameter ENV-Namen zu, z. B. {"access_token": "WHATSAPP_TOKEN"}.|Les canaux internationaux sont affichés en premier. Credentials associe paramètres API et noms ENV, ex. {"access_token": "WHATSAPP_TOKEN"}.|Los canales internacionales aparecen primero. Credentials relaciona parámetros API con nombres ENV, p. ej. {"access_token": "WHATSAPP_TOKEN"}.|Os canais internacionais aparecem primeiro. Credentials mapeia parâmetros API para nomes ENV, ex.: {"access_token": "WHATSAPP_TOKEN"}.|I canali internazionali appaiono per primi. Credentials associa parametri API a nomi ENV, es. {"access_token": "WHATSAPP_TOKEN"}.|Internationale kanalen staan eerst. Credentials koppelt API-parameters aan ENV-namen, bijv. {"access_token": "WHATSAPP_TOKEN"}.|Kanały międzynarodowe są pierwsze. Credentials mapuje parametry API na nazwy ENV, np. {"access_token": "WHATSAPP_TOKEN"}.|Uluslararası kanallar önce gösterilir. Credentials, API parametrelerini ENV adlarına eşler; ör. {"access_token": "WHATSAPP_TOKEN"}.|Основные международные каналы идут первыми. Credentials — JSON-сопоставление параметров API с именами ENV, например {"access_token": "WHATSAPP_TOKEN"}.
International CRM providers appear first. Mapping JSON: {"lead_field": "crm_field"}. Store the token in the specified ENV.|Internationale CRM-Anbieter stehen zuerst. Mapping JSON: {"lead_field": "crm_field"}. Token in der angegebenen ENV speichern.|Les CRM internationaux sont affichés en premier. Mapping JSON : {"lead_field": "crm_field"}. Stockez le jeton dans l’ENV indiquée.|Los CRM internacionales aparecen primero. Mapping JSON: {"lead_field": "crm_field"}. Guarde el token en la ENV indicada.|Os CRMs internacionais aparecem primeiro. Mapping JSON: {"lead_field": "crm_field"}. Armazene o token na ENV indicada.|I CRM internazionali appaiono per primi. Mapping JSON: {"lead_field": "crm_field"}. Salva il token nella ENV indicata.|Internationale CRM-providers staan eerst. Mapping JSON: {"lead_field": "crm_field"}. Bewaar het token in de opgegeven ENV.|Międzynarodowe CRM są pierwsze. Mapping JSON: {"lead_field": "crm_field"}. Zapisz token we wskazanej ENV.|Uluslararası CRM sağlayıcıları önce gösterilir. Mapping JSON: {"lead_field": "crm_field"}. Tokeni belirtilen ENV içinde saklayın.|Западные и международные CRM показаны первыми. Mapping JSON задаётся как {"поле_заявки": "поле_CRM"}. Токен хранится в указанной ENV.
Invalid format.|Ungültiges Format.|Format invalide.|Formato inválido.|Formato inválido.|Formato non valido.|Ongeldig formaat.|Nieprawidłowy format.|Geçersiz biçim.|Неверный формат.
Invalid input message|Meldung bei ungültiger Eingabe|Message de saisie invalide|Mensaje de entrada inválida|Mensagem de entrada inválida|Messaggio di input non valido|Melding ongeldige invoer|Komunikat błędnych danych|Geçersiz girdi mesajı|Ошибка ввода
